Player,PrimaryPosition,Games,CrossAccuracy,CrossesPerGame,KeyPassesPerGame,Consistency,TurnoverRate,Rating
I. Diop,lb,34,0.505,5.118,0.029,0.514,0.495,69.420
P. Kimpembe,rb,24,0.457,2.542,0.083,0.053,0.543,63.172
J. Ielsch,rb,8,0.407,4.875,0.125,0.259,0.593,63.705
A. Walongwa,lb,1,0.370,7.000,0.000,1.000,0.630,64.466
D. Alcibiade,cb,2,0.474,9.000,0.500,0.924,0.526,65.020
E. Imorou,rb,1,0.409,2.000,0.000,1.000,0.591,63.928
J. Martins-Pereira,lb,13,0.463,6.769,0.308,0.621,0.537,67.393
F. Mendy,rb,26,0.417,4.308,0.115,0.332,0.583,65.854
Yuri Berchiche,rb,22,0.336,4.091,0.227,0.166,0.664,63.719
P. Djilobodji,rb,30,0.550,9.400,0.000,0.624,0.450,75.511
F. Eboa Eboa,cb,19,0.351,3.895,0.053,0.101,0.649,62.550
G. Nyamsi,lb,3,0.515,4.333,0.000,0.647,0.485,63.059
A. Abdennour,rb,6,0.417,2.667,0.000,0.118,0.583,62.265
Hilton,cb,27,0.567,9.444,0.000,0.706,0.433,75.036
Marlon,lb,21,0.547,2.619,0.048,0.377,0.453,64.594
A. Bamba,cb,18,0.276,5.722,0.056,0.128,0.724,63.467
L. Lacroix,cb,9,0.500,4.444,0.000,0.345,0.500,64.069
I. Sylla,rb,21,0.383,6.143,0.238,0.382,0.617,66.961
M. Udol,rb,4,0.320,7.500,0.000,0.435,0.680,62.708
B. Koné,cb,27,0.578,5.222,0.037,0.499,0.422,69.665
E. Seka,cb,26,0.413,5.192,0.077,0.400,0.587,66.890
Danilo Avelar,rb,21,0.386,7.429,0.190,0.506,0.614,68.551
A. Touré,lb,16,0.431,6.000,0.188,0.450,0.569,66.333
J. Giraudon,lb,23,0.559,7.304,0.043,0.585,0.441,70.976
J. Cordoval,lb,11,0.458,4.727,0.000,0.131,0.542,63.698
E. Kwateng,lb,1,0.385,6.000,0.000,1.000,0.615,64.368
M. Diakhaby,cb,8,0.333,3.500,0.000,0.437,0.667,62.202
S. Yago,lb,19,0.410,5.105,0.105,0.336,0.590,65.255
I. Lewczuk,lb,6,0.415,3.500,0.500,0.437,0.585,63.864
M. Tahrat,cb,5,0.419,4.600,0.000,0.315,0.581,63.644
Afonso Figueiredo,rb,4,0.385,4.750,0.000,0.304,0.615,61.814
M. Yanga-Mbiwa,cb,1,0.391,3.000,0.000,1.000,0.609,64.021
S. Ciss,rb,3,0.375,4.000,0.333,0.083,0.625,62.380
A. Raggi,cb,20,0.411,6.050,0.000,0.394,0.589,66.264
B. Sankoh,cb,16,0.412,1.938,0.000,0.039,0.588,60.767
D. Foulquier,lb,16,0.451,5.125,0.125,0.383,0.549,65.394
H. Mendyl,rb,12,0.390,5.167,0.083,0.275,0.610,63.909
B. Kamara,cb,6,0.371,2.500,0.000,0.000,0.629,61.752
J. Gelin,lb,27,0.468,6.852,0.000,0.581,0.532,70.117
P. Burner,lb,9,0.379,5.111,0.000,0.410,0.621,63.600
C. M'Bengue,rb,7,0.472,4.714,0.143,0.388,0.528,64.277
N. Basin,rb,5,0.382,7.000,0.200,0.052,0.618,64.609
M. Poaty,rb,3,0.333,6.333,0.000,0.000,0.667,62.591
M. Gajić,lb,4,0.390,5.250,0.000,0.565,0.610,62.249
R. Danzé,lb,10,0.449,5.800,0.000,0.367,0.551,64.729
F. Pogba,rb,5,0.469,5.800,0.200,0.723,0.531,65.175
O. Verdon,lb,1,0.381,1.000,0.000,1.000,0.619,63.769
N. Cozza,rb,9,0.408,6.222,0.000,0.355,0.592,64.562
M. Zeffane,cb,14,0.421,5.357,0.071,0.254,0.579,64.562
A. Soumaoro,cb,12,0.500,2.500,0.000,0.365,0.500,62.711
S. Coulibaly,cb,1,0.400,10.000,0.000,1.000,0.600,64.864
Y. Armougom,rb,3,0.333,5.333,0.333,0.000,0.667,62.591
T. Carrique,lb,1,0.423,6.000,0.000,1.000,0.577,64.422
J. Palmieri,rb,15,0.421,5.000,0.200,0.293,0.579,64.806
V. Selimovic,lb,12,0.440,4.583,0.000,0.427,0.560,63.967
M. Poundjé,rb,19,0.390,8.000,0.263,0.493,0.610,68.900
V. Rüfli,rb,1,0.381,1.000,0.000,1.000,0.619,63.769
H. Bedimo,rb,2,0.435,1.500,0.000,0.529,0.565,62.728
J. Koundé,lb,18,0.526,6.278,0.000,0.596,0.474,67.945
P. Baysse,cb,21,0.562,4.810,0.000,0.537,0.438,67.420
Pablo,cb,14,0.435,5.143,0.000,0.323,0.565,64.446
R. Perraud,lb,1,0.381,1.000,0.000,1.000,0.619,63.769
K. Dabila,cb,10,0.392,5.400,0.100,0.278,0.608,63.999
N. Subotić,cb,19,0.463,6.789,0.053,0.435,0.537,67.758
Gabriel,rb,1,0.483,9.000,0.000,1.000,0.517,64.864
M. Debuchy,lb,15,0.433,7.133,0.267,0.533,0.567,67.615
R. Coly,rb,5,0.385,3.800,0.200,0.347,0.615,63.386
D. Lempereur,rb,2,0.423,3.000,0.000,0.151,0.577,62.863
A. N'Dour,rb,5,0.468,5.400,0.200,0.375,0.532,64.647
Steven Fortès,rb,2,0.543,7.500,0.000,0.717,0.457,64.443
D. Contento,rb,1,0.385,6.000,0.000,1.000,0.615,64.368
J. Serrano,rb,4,0.322,9.750,0.250,0.217,0.678,63.743
A. Oyongo,rb,3,0.341,7.000,0.000,0.276,0.659,63.008
J. Tah,lb,26,0.481,4.423,0.077,0.439,0.519,67.047
N. Süle,cb,27,0.615,4.259,0.037,0.546,0.385,69.148
Wendell,rb,24,0.467,5.417,0.417,0.496,0.533,68.876
B. Henrichs,cb,21,0.439,5.333,0.190,0.581,0.561,67.102
S. Bender,rb,28,0.583,5.107,0.000,0.549,0.417,69.852
Rafinha,cb,25,0.476,5.760,0.320,0.417,0.524,69.138
K. Vogt,cb,31,0.577,7.129,0.000,0.585,0.423,73.036
R. Bauer,lb,12,0.505,6.917,0.000,0.455,0.495,66.640
M. Veljkovic,cb,31,0.539,9.355,0.000,0.634,0.461,75.424
L. Augustinsson,rb,34,0.427,8.088,0.324,0.477,0.573,73.164
L. Sané,cb,8,0.548,5.250,0.000,0.592,0.452,65.267
B. Hübner,rb,27,0.560,6.000,0.074,0.536,0.440,70.588
T. Gebre Selassie,lb,32,0.465,3.406,0.094,0.390,0.535,66.431
M. Kamiński,rb,16,0.538,6.188,0.000,0.396,0.462,67.116
B. Pavard,cb,40,0.438,6.925,0.050,0.484,0.562,71.012
K. Rekik,cb,26,0.570,7.462,0.000,0.672,0.430,72.272
S. Langkamp,cb,17,0.500,3.882,0.000,0.401,0.500,64.572
Ailton,rb,4,0.448,2.250,0.250,0.000,0.552,61.176
M. Plattenhardt,rb,34,0.454,8.412,0.324,0.503,0.546,74.090
D. Aogo,rb,25,0.520,7.040,0.240,0.508,0.480,71.227
N. Stark,lb,25,0.489,6.320,0.000,0.488,0.511,69.018
H. Badstuber,cb,26,0.577,4.962,0.000,0.469,0.423,68.875
C. Günter,rb,34,0.487,10.706,0.529,0.678,0.513,78.905
T. Chandler,cb,23,0.470,9.130,0.348,0.590,0.530,72.907
D. Abraham,cb,27,0.518,7.407,0.037,0.514,0.482,71.498
P. Lienhart,lb,11,0.375,5.455,0.000,0.161,0.625,63.528
M. Kempf,rb,11,0.491,8.000,0.000,0.482,0.509,67.205
J. Willems,rb,23,0.466,4.913,0.391,0.304,0.534,67.505
P. Stenzel,lb,23,0.516,7.391,0.130,0.620,0.484,70.866
O. Wendt,rb,28,0.346,7.036,0.143,0.389,0.654,68.852
D. Heintz,rb,31,0.545,8.774,0.065,0.653,0.455,75.066
L. Klünter,lb,17,0.279,6.000,0.294,0.031,0.721,64.171
J. Vestergaard,cb,32,0.568,8.500,0.000,0.674,0.432,74.993
F. Sørensen,lb,25,0.545,6.680,0.000,0.603,0.455,70.527
K. Rausch,rb,12,0.317,7.000,0.000,0.176,0.683,64.339
N. Elvedi,cb,31,0.382,2.903,0.065,0.050,0.618,63.511
M. Ginter,lb,34,0.530,6.294,0.029,0.563,0.470,71.490
J. Horn,rb,11,0.513,5.091,0.364,0.471,0.487,65.942
Naldo,cb,33,0.538,4.909,0.030,0.485,0.462,69.555
W. Orban,cb,24,0.518,6.083,0.042,0.506,0.482,69.085
T. Kehrer,cb,27,0.571,4.444,0.037,0.485,0.429,68.590
B. Oczipka,rb,27,0.442,8.556,0.519,0.553,0.558,73.645
M. Nastasić,rb,24,0.561,6.375,0.000,0.571,0.439,70.029
L. Klostermann,cb,26,0.338,4.577,0.154,0.169,0.662,64.789
M. Halstenberg,rb,14,0.361,4.500,0.143,0.272,0.639,63.350
D. Upamecano,rb,27,0.463,4.704,0.037,0.382,0.537,67.060
J. Gouweleeuw,cb,27,0.565,9.556,0.037,0.738,0.435,75.350
D. Diekmeier,lb,21,0.406,8.667,0.143,0.596,0.594,70.224
R. van Drongelen,rb,17,0.382,5.294,0.000,0.533,0.618,64.832
P. Max,rb,33,0.457,13.576,0.636,0.691,0.543,82.511
R. Framberger,lb,9,0.347,8.333,0.556,0.325,0.653,66.692
K. Papadopoulos,cb,29,0.493,6.241,0.000,0.500,0.507,70.061
G. Jung,cb,28,0.461,4.786,0.036,0.479,0.539,67.606
Felipe,rb,6,0.500,8.667,0.167,0.418,0.500,66.661
S. Bell,cb,25,0.500,6.720,0.040,0.634,0.500,70.142
G. Donati,lb,28,0.533,7.393,0.321,0.617,0.467,73.300
M. Ostrzolek,rb,27,0.461,9.704,0.296,0.557,0.539,74.518
J. Korb,lb,27,0.460,8.593,0.222,0.540,0.540,72.839
A. Diallo,rb,27,0.476,7.667,0.037,0.561,0.524,71.309
F. Hübner,lb,4,0.488,5.250,0.000,0.626,0.512,62.766
D. Brosinski,rb,29,0.405,9.862,0.241,0.556,0.595,74.329
W. Anton,cb,27,0.446,4.741,0.000,0.388,0.554,66.741
S. Papastathopoulos,lb,29,0.395,6.034,0.034,0.361,0.605,68.117
Bartra,cb,25,0.441,8.080,0.040,0.446,0.559,70.476
F. Uduokhai,cb,18,0.434,4.389,0.000,0.411,0.566,64.461
D. Zagadou,rb,9,0.383,3.000,0.111,0.000,0.617,61.786
Y. Gerhardt,rb,15,0.390,4.133,0.000,0.284,0.610,63.046
R. Knoche,cb,23,0.512,6.261,0.000,0.671,0.488,69.185
P. Verhaegh,lb,31,0.454,7.097,0.226,0.484,0.546,71.718
Ö. Toprak,cb,24,0.489,4.708,0.000,0.404,0.511,66.681
M. Tisserand,cb,16,0.431,7.312,0.000,0.443,0.569,67.049
D. da Costa,lb,15,0.429,5.667,0.333,0.310,0.571,65.938
J. Toljan,cb,16,0.345,5.625,0.250,0.044,0.655,64.346
E. Bičakčić,cb,8,0.532,3.375,0.000,0.116,0.468,63.270
André Ramalho,cb,2,0.409,1.000,0.000,0.000,0.591,62.311
S. Sané,cb,35,0.595,6.486,0.029,0.635,0.405,73.030
T. Baumgartl,cb,29,0.479,6.793,0.000,0.429,0.521,70.373
M. Schmelzer,rb,18,0.361,6.889,0.056,0.445,0.639,66.385
C. Söyüncü,rb,23,0.531,6.826,0.000,0.627,0.469,69.993
L. Kübler,lb,13,0.589,5.385,0.000,0.564,0.411,66.590
C. Salcedo,cb,23,0.628,9.304,0.000,0.752,0.372,74.469
A. Beck,lb,23,0.424,9.478,0.217,0.700,0.576,72.488
D. Opare,lb,17,0.359,8.824,0.235,0.723,0.641,69.209
Jorge Meré,cb,22,0.496,4.500,0.000,0.383,0.504,66.061
Bernardo,rb,16,0.408,6.875,0.125,0.712,0.592,67.245
L. Balogun,lb,17,0.431,4.824,0.000,0.415,0.569,64.718
William,rb,22,0.442,7.727,0.182,0.491,0.558,69.838
F. Lustenberger,cb,22,0.529,5.364,0.000,0.531,0.471,67.821
T. Tawatha,rb,9,0.464,4.000,0.333,0.219,0.536,63.979
P. Retsos,cb,22,0.533,5.227,0.045,0.510,0.467,67.832
Douglas Santos,rb,27,0.496,9.333,0.185,0.639,0.504,74.378
D. Maroh,cb,11,0.718,4.636,0.000,0.818,0.282,67.237
B. Schmitz,lb,1,0.400,5.000,0.000,1.000,0.600,64.271
M. Compper,cb,2,0.556,3.500,0.000,1.000,0.444,63.709
G. Sakai,cb,27,0.542,7.259,0.111,0.587,0.458,72.111
L. Caldirola,rb,1,0.346,6.000,0.000,1.000,0.654,64.313
G. Itter,rb,5,0.324,3.400,0.200,0.356,0.676,62.861
N. Moisander,rb,25,0.605,10.040,0.040,0.792,0.395,75.957
I. Konaté,lb,15,0.442,5.600,0.000,0.403,0.558,65.258
T. Handwerker,rb,9,0.351,4.111,0.111,0.279,0.649,62.699
M. Russ,cb,16,0.449,4.312,0.000,0.340,0.551,64.127
U. Garcia,rb,1,0.458,4.000,0.000,1.000,0.542,64.235
S. Posch,cb,9,0.511,7.778,0.000,0.551,0.489,66.831
K. Danso,lb,15,0.490,8.200,0.067,0.553,0.510,68.739
E. Insúa,rb,25,0.388,8.160,0.120,0.506,0.612,70.244
P. Olkowski,lb,5,0.310,7.600,0.000,0.668,0.690,64.787
K. Akpoguma,lb,21,0.402,4.619,0.048,0.236,0.598,64.570
T. Jantschke,lb,12,0.361,4.333,0.000,0.231,0.639,62.625
J. Brooks,rb,8,0.519,4.250,0.000,0.416,0.481,64.138
O. Sorg,lb,22,0.428,8.545,0.182,0.445,0.572,70.466
R. Koch,cb,22,0.508,5.091,0.000,0.547,0.492,67.258
Juan Bernat,rb,10,0.365,3.200,0.200,0.183,0.635,62.169
Miiko Albornoz,rb,9,0.451,9.111,0.444,0.811,0.549,68.587
Y. Bisseck,lb,1,0.440,5.000,0.000,1.000,0.560,64.328
M. Mittelstädt,rb,7,0.365,4.571,0.286,0.000,0.635,63.210
J. Torunarigha,rb,9,0.500,8.000,0.000,0.193,0.500,66.385
A. Hack,rb,15,0.557,7.400,0.000,0.593,0.443,68.637
M. Friedl,rb,8,0.452,6.625,0.375,0.712,0.548,66.314
B. Risa,cb,2,0.435,1.500,0.000,0.000,0.565,62.492
F. Kusič,rb,1,0.381,1.000,0.000,1.000,0.619,63.769
R. Oxford,lb,5,0.415,6.600,0.000,0.477,0.585,64.727
J. Bruma,lb,11,0.537,5.636,0.000,0.684,0.463,66.073
M. Gulde,cb,17,0.496,6.176,0.059,0.570,0.504,67.356
J. Elez,rb,10,0.520,7.800,0.000,0.586,0.480,67.234
M. Akanji,cb,15,0.584,4.600,0.000,0.580,0.416,66.262
S. Jung,lb,1,0.370,7.000,0.000,1.000,0.630,64.466
K. Jakob,cb,2,0.472,8.000,0.000,0.357,0.528,64.204
C. Janker,lb,2,0.348,1.500,0.000,0.000,0.652,62.259
Pablo Ínsua,lb,1,0.429,1.000,0.000,1.000,0.571,63.837
S. Ambrosius,lb,1,0.348,3.000,0.000,1.000,0.652,63.959
P. Jaeckel,lb,3,0.415,7.000,0.667,0.550,0.585,64.092
T. Hübers,lb,5,0.413,5.200,0.000,0.026,0.587,63.622
L. Mai,lb,2,0.370,3.500,0.000,0.000,0.630,62.766
A. Baba,rb,1,0.409,2.000,0.000,1.000,0.591,63.928
A. Masiello,cb,30,0.614,9.600,0.000,0.656,0.386,76.816
K. Manolas,lb,28,0.562,4.500,0.000,0.538,0.438,68.760
R. Gosens,rb,20,0.373,4.500,0.250,0.145,0.627,64.354
H. Hateboer,lb,28,0.353,3.536,0.143,0.174,0.647,64.099
A. Kolarov,rb,38,0.377,10.921,0.605,0.591,0.623,77.937
J. Palomino,cb,22,0.439,4.273,0.045,0.282,0.561,64.956
Juan Jesus,rb,20,0.527,7.250,0.100,0.585,0.473,69.816
Bruno Peres,lb,16,0.395,5.875,0.312,0.171,0.605,65.604
Rafael Tolói,lb,30,0.509,8.700,0.000,0.567,0.491,73.862
D. Maietta,cb,6,0.500,6.000,0.000,0.535,0.500,65.069
N. N'Koulou,lb,37,0.591,4.081,0.000,0.540,0.409,69.469
S. De Maio,cb,25,0.564,6.080,0.000,0.576,0.436,70.013
V. Torosidis,lb,14,0.386,4.857,0.143,0.272,0.614,63.952
E. Moretti,rb,22,0.559,6.409,0.000,0.552,0.441,69.456
C. Molinaro,rb,19,0.457,8.842,0.158,0.686,0.543,70.732
A. Masina,rb,34,0.414,5.029,0.206,0.321,0.586,68.043
D. Faraoni,lb,27,0.410,7.741,0.037,0.358,0.590,69.947
L. Cabrera,rb,13,0.475,9.308,0.077,0.517,0.525,68.967
B. Martella,rb,30,0.447,9.700,0.267,0.561,0.553,75.182
N. Dussenne,cb,1,0.360,5.000,0.000,1.000,0.640,64.214
A. Conti,lb,2,0.385,3.000,0.000,0.529,0.615,62.929
M. Musacchio,lb,15,0.540,6.200,0.067,0.645,0.460,67.588
I. Abate,lb,17,0.451,6.647,0.235,0.183,0.549,67.042
K. Koulibaly,rb,37,0.534,5.378,0.000,0.544,0.466,70.316
T. Heurtaux,cb,17,0.487,5.471,0.000,0.346,0.513,65.901
M. Cáceres,cb,23,0.469,6.826,0.174,0.482,0.531,69.403
F. Ghoulam,rb,11,0.416,6.273,0.636,0.535,0.584,66.713
A. Ferrari,lb,25,0.514,6.120,0.000,0.455,0.486,69.068
S. Souprayen,rb,19,0.422,5.053,0.053,0.162,0.578,64.817
D. Astori,rb,25,0.517,7.400,0.080,0.585,0.483,71.220
Y. Nagatomo,rb,14,0.500,5.286,0.429,0.489,0.500,66.779
Vitor Hugo,cb,14,0.486,3.571,0.000,0.441,0.514,63.782
João Miranda,cb,35,0.508,4.543,0.000,0.322,0.492,68.118
M. Olivera,rb,7,0.424,6.571,0.143,0.516,0.576,65.209
N. Tomović,cb,26,0.497,6.269,0.038,0.573,0.503,69.683
D. D'Ambrosio,cb,34,0.399,6.853,0.118,0.421,0.601,70.135
D. Rugani,cb,21,0.496,4.810,0.000,0.465,0.504,66.383
Alex Sandro,rb,26,0.528,8.269,0.192,0.501,0.472,72.915
F. Pisacane,cb,24,0.508,6.958,0.042,0.383,0.492,69.678
M. Capuano,rb,24,0.420,5.125,0.000,0.499,0.580,66.420
M. Andreolli,cb,22,0.465,6.136,0.000,0.371,0.535,67.458
S. de Vrij,cb,36,0.648,3.861,0.028,0.618,0.352,70.377
F. Costa,rb,23,0.366,6.739,0.087,0.375,0.634,67.333
Wallace,cb,13,0.474,5.769,0.077,0.614,0.526,66.003
D. Basta,lb,11,0.460,7.273,0.273,0.496,0.540,67.004
M. Oikonomou,lb,3,0.400,3.333,0.000,0.278,0.600,62.071
F. Vicari,cb,34,0.525,5.235,0.000,0.414,0.475,69.511
S. Väisänen,cb,7,0.463,3.000,0.143,0.341,0.537,63.124
Ş. Radu,rb,31,0.556,5.742,0.065,0.572,0.444,71.149
M. Cremonesi,rb,5,0.361,3.200,0.000,0.000,0.639,62.353
V. Regini,rb,13,0.423,4.462,0.077,0.387,0.577,63.913
J. Sala,lb,13,0.423,5.923,0.154,0.242,0.577,65.145
L. Venuti,cb,28,0.422,4.786,0.214,0.223,0.578,67.058
M. Silvestre,lb,34,0.649,8.471,0.000,0.722,0.351,76.550
D. Pavlovic,rb,10,0.312,8.900,0.200,0.371,0.688,66.299
F. Lucioni,cb,8,0.423,7.250,0.000,0.392,0.577,65.331
A. Costa,rb,16,0.548,9.125,0.125,0.611,0.452,70.905
G. Letizia,cb,29,0.403,7.276,0.241,0.459,0.597,70.807
G. Di Chiara,rb,13,0.471,9.077,0.308,0.439,0.529,69.192
S. Gentiletti,rb,3,0.410,6.333,0.000,0.463,0.590,63.176
Pol Lirola,lb,24,0.390,8.792,0.250,0.578,0.610,71.347
D. Biraschi,lb,22,0.425,7.000,0.136,0.566,0.575,68.804
P. Cannavaro,cb,16,0.489,6.938,0.000,0.609,0.511,67.689
L. Rossettini,cb,23,0.481,6.174,0.043,0.455,0.519,68.313
F. Acerbi,cb,38,0.612,6.316,0.053,0.585,0.388,73.223
F. Peluso,rb,28,0.442,8.500,0.179,0.558,0.558,72.641
M. Gobbi,rb,24,0.502,11.625,0.333,0.692,0.498,76.790
G. Pezzella,rb,15,0.348,6.133,0.200,0.372,0.652,65.202
F. Cacciatore,lb,33,0.453,10.576,0.424,0.630,0.547,77.532
B. Nuytinck,cb,27,0.561,6.185,0.000,0.591,0.439,70.693
A. Gamberini,cb,20,0.460,2.150,0.000,0.146,0.540,62.131
G. Angella,cb,12,0.630,6.667,0.000,0.498,0.370,67.769
D. Dainelli,cb,19,0.580,7.842,0.000,0.664,0.420,70.682
Samir,rb,31,0.377,5.000,0.065,0.491,0.623,67.251
I. M'baye,lb,21,0.447,3.524,0.000,0.299,0.553,63.937
F. Helander,rb,27,0.416,5.222,0.000,0.332,0.584,66.754
M. Sampirisi,lb,29,0.474,7.310,0.138,0.438,0.526,71.484
G. Pezzella,lb,33,0.500,6.909,0.000,0.600,0.500,71.747
C. Biraghi,rb,34,0.452,10.206,0.765,0.638,0.548,78.522
N. Murru,rb,17,0.413,7.647,0.118,0.535,0.587,67.948
Bruno Gaspar,lb,14,0.418,5.071,0.357,0.000,0.582,64.583
G. Ferrari,rb,30,0.587,6.433,0.033,0.500,0.413,72.132
C. Maggio,lb,7,0.412,4.429,0.000,0.500,0.588,63.546
Albiol,lb,31,0.634,8.000,0.000,0.659,0.366,75.223
F. Fazio,cb,31,0.478,6.032,0.065,0.581,0.522,70.355
Dalbert,rb,11,0.377,3.000,0.000,0.006,0.623,61.329
B. Salamon,lb,21,0.497,7.000,0.095,0.602,0.503,69.444
F. Mattiello,rb,27,0.406,4.556,0.074,0.238,0.594,65.828
L. De Silvestri,lb,35,0.387,7.114,0.143,0.398,0.613,70.366
M. Gazzola,lb,9,0.411,8.333,0.111,0.496,0.589,66.525
A. Barreca,rb,9,0.458,3.111,0.111,0.213,0.542,62.812
C. Adjapong,cb,15,0.327,5.200,0.133,0.131,0.673,63.422
M. Caldara,cb,22,0.579,4.591,0.000,0.476,0.421,67.496
T. Castagne,lb,19,0.456,4.368,0.316,0.368,0.544,65.798
T. Letschert,lb,5,0.429,3.000,0.000,0.491,0.571,63.108
L. Antei,lb,8,0.448,4.750,0.000,0.243,0.552,63.683
A. Lazaar,rb,7,0.431,4.429,0.286,0.448,0.569,64.143
E. Krafth,lb,13,0.438,5.308,0.077,0.321,0.562,64.703
F. Ceccherini,cb,36,0.524,5.167,0.000,0.489,0.476,69.684
M. Benatia,cb,22,0.570,5.545,0.000,0.596,0.430,68.734
D. Calabria,lb,20,0.415,8.750,0.050,0.593,0.585,69.841
Bastos,lb,19,0.537,3.158,0.053,0.387,0.463,64.749
B. Bereszyński,lb,32,0.401,5.375,0.125,0.323,0.599,67.931
J. Stryger Larsen,lb,31,0.522,5.161,0.032,0.574,0.478,69.774
Danilo,cb,31,0.580,8.194,0.032,0.673,0.420,74.800
A. Rosi,lb,23,0.333,5.783,0.087,0.095,0.667,65.143
B. Cesar,cb,8,0.540,5.375,0.000,0.582,0.460,65.269
A. Ranocchia,cb,9,0.372,2.556,0.000,0.119,0.628,61.307
G. González,lb,25,0.531,7.720,0.000,0.556,0.469,71.436
E. Zukanović,rb,31,0.525,8.935,0.161,0.703,0.475,75.477
A. Romagnoli,rb,27,0.534,4.185,0.000,0.441,0.466,67.479
L. Ceppitelli,cb,26,0.610,9.385,0.077,0.631,0.390,75.342
A. Bastoni,rb,3,0.407,2.333,0.000,0.000,0.593,61.607
A. Caracciolo,cb,33,0.569,5.788,0.030,0.493,0.431,71.197
V. Laurini,lb,22,0.464,8.000,0.364,0.509,0.536,71.104
Felipe,rb,29,0.520,7.724,0.069,0.610,0.480,72.870
C. Zapata,cb,11,0.493,4.273,0.091,0.488,0.507,64.456
C. Ansaldi,rb,25,0.439,9.320,0.240,0.380,0.561,72.466
Lyanco,rb,4,0.436,4.750,0.000,0.815,0.564,62.468
Ali Adnan,rb,22,0.406,7.273,0.318,0.470,0.594,69.243
S. Miangue,rb,11,0.390,7.727,0.636,0.501,0.610,67.583
A. Gravillon,cb,1,0.458,4.000,0.000,1.000,0.542,64.235
G. Mancini,cb,9,0.409,5.111,0.000,0.428,0.591,63.884
Luiz Felipe,cb,15,0.494,4.200,0.000,0.341,0.506,64.399
Patric,cb,8,0.492,5.125,0.375,0.719,0.508,65.648
F. Migliore,rb,6,0.318,4.000,0.333,0.293,0.682,63.080
H. Moreno,rb,15,0.559,7.133,0.067,0.566,0.441,68.543
N. Maksimović,lb,2,0.455,1.000,0.000,1.000,0.545,62.880
B. Djimsiti,cb,28,0.523,4.607,0.000,0.416,0.477,68.023
F. Romagna,lb,22,0.547,7.727,0.136,0.539,0.453,71.218
A. Izzo,lb,15,0.489,13.400,0.000,0.620,0.511,73.606
G. van der Wiel,lb,4,0.419,5.750,0.250,0.459,0.581,62.800
S. Widmer,lb,22,0.396,7.818,0.136,0.465,0.604,69.100
B. Gyamfi,lb,5,0.368,3.600,0.000,0.027,0.632,62.610
João Cancelo,lb,23,0.405,11.043,0.696,0.587,0.595,75.411
S. Simič,lb,8,0.472,4.125,0.000,0.384,0.528,63.643
R. Karsdorp,lb,1,0.429,8.000,0.000,1.000,0.571,64.668
Mário Rui,rb,24,0.283,7.708,0.083,0.256,0.717,67.247
N. Burdisso,cb,24,0.656,6.667,0.042,0.779,0.344,72.332
N. Spolli,cb,16,0.526,3.625,0.000,0.629,0.474,64.916
D. Santon,rb,13,0.455,5.231,0.077,0.546,0.545,65.205
E. Goldaniga,lb,13,0.465,5.077,0.077,0.471,0.535,65.049
P. Jaroszyński,rb,11,0.375,8.364,0.273,0.413,0.625,66.927
N. Milenković,lb,19,0.486,4.474,0.000,0.484,0.514,65.525
J. Billong,lb,4,0.400,1.250,0.000,0.000,0.600,60.245
M. Bani,cb,16,0.597,7.125,0.000,0.507,0.403,68.947
Leandro Castán,rb,14,0.486,6.500,0.000,0.530,0.514,66.640
C. Lykogiannis,rb,9,0.299,6.333,0.000,0.309,0.701,63.641
J. Vuković,cb,15,0.581,4.867,0.000,0.667,0.419,66.638
L. Antonelli,rb,2,0.385,3.000,0.000,0.000,0.615,62.693
Pedro Pereira,lb,5,0.404,7.400,0.400,0.299,0.596,65.442
F. Zampano,cb,6,0.468,4.500,0.167,0.493,0.532,64.273
M. Lemos,cb,24,0.581,6.917,0.000,0.582,0.419,70.967
L. López,cb,1,0.429,1.000,0.000,1.000,0.571,63.837
Rogério,rb,12,0.465,7.833,0.417,0.462,0.535,68.076
L. Šimić,cb,5,0.341,4.200,0.000,0.000,0.659,62.715
A. Toșca,rb,18,0.495,4.944,0.000,0.506,0.505,65.994
D. Boldor,cb,1,0.484,11.000,0.000,1.000,0.516,65.103
B. Dramé,rb,2,0.385,3.000,0.000,0.000,0.615,62.693
S. Romagnoli,cb,8,0.462,5.625,0.000,0.297,0.538,64.438
K. Bonifazi,cb,6,0.528,2.667,0.000,0.388,0.472,63.281
G. Felicioli,rb,4,0.345,2.250,0.000,0.000,0.655,60.380
J. Andersen,cb,6,0.550,6.667,0.000,0.661,0.450,65.893
C. Dell'Orco,rb,6,0.426,5.667,0.000,0.253,0.574,64.100
M. Bianchetti,lb,2,0.412,7.000,0.000,0.293,0.588,63.790
L. Tonelli,cb,3,0.481,2.333,0.000,0.567,0.519,62.247
J. El Yamiq,cb,4,0.381,5.500,0.000,0.200,0.619,62.013
J. Silva,rb,2,0.467,5.000,0.500,0.798,0.533,64.051
L. Sparandeo,rb,1,0.429,1.000,0.000,1.000,0.571,63.837
C. Keita,rb,1,0.455,2.000,0.000,1.000,0.545,63.992
E. Capradossi,lb,1,0.391,3.000,0.000,1.000,0.609,64.021
Christian Rutjens,lb,1,0.381,1.000,0.000,1.000,0.619,63.769
A. Rukavina,cb,16,0.487,5.938,0.188,0.604,0.513,67.231
Jaume Costa,rb,29,0.441,7.759,0.310,0.510,0.559,72.372
